Processing,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Pb,Sc,Si,Sn,Ti,V,Zn,Zr,Elongation (%),Tensile Strength (MPa),Yield Strength (MPa),class,Toughness
No Processing,0.0007,0.9208,0.0,0.0,0.0,0.0,0.0,0.0,0.0637,0.0,0.0,0.0057,0.0,0.0,0.0001,0.0018,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0066,0.0,1.8,135.0,80.0,1,121.5
No Processing,0.0,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0685,0.0,0.0,0.006,0.0,0.0,0.0001,0.002,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0068,0.0,1.8,135.0,85.0,1,121.5
No Processing,0.0003,0.9153,0.0,0.0,0.0,0.0,0.0,0.0,0.0678,0.0,0.0,0.0062,0.0,0.0,0.0001,0.0019,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0076,0.0,2.0,165.0,100.0,1,165.0
No Processing,0.001,0.9151,0.0,0.0,0.0,0.0,0.0,0.0,0.0684,0.0,0.0,0.0061,0.0,0.0,0.0001,0.0018,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0073,0.0,1.8,150.0,90.0,1,135.0
No Processing,0.0,0.9233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,4.2,183.0,281.8720234779904,1,384.3
No Processing,0.0,0.9223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0012,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,3.5,189.0,281.8720234779904,1,330.75
No Processing,0.0,0.9213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0012,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,3.2,191.0,281.8720234779904,1,305.6
No Processing,0.0,0.9203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0012,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,2.4,195.3,281.8720234779904,1,234.36
No Processing,0.0,0.9193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0012,0.0,0.0,0.0045,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,2.0,180.0,281.8720234779904,1,180.0
No Processing,0.0,0.9003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,7.4,176.0,281.8720234779904,1,651.2
No Processing,0.0,0.89861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00079,0.0016,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,9.2,190.0,281.8720234779904,1,873.9999999999999
No Processing,0.0,0.89792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028,0.0018,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,7.7,187.0,281.8720234779904,1,719.95
No Processing,0.0,0.89745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00095,0.0016,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,8.2,204.0,281.8720234779904,1,836.4
